task_id,row_key,prompt,answer,reference_answer,sources,correctness_score,groundedness_score,legal_reasoning_score,completeness_score,comprehension_score,hallucination_flag,grounding_citations,comments
40,6b58958f944458e7,Ein digitaler Nomade lebt während seiner Österreich-Aufenthalte ausschließlich in einem mobilen Wohnwagen. Kann dadurch ein inländischer Wohnsitz begründet werden?,"Nach österreichischem Steuerrecht wird ein inländischer Wohnsitz gemäß § 2 Einkommensteuergesetz (EStG) dann begründet, wenn eine Person eine Wohnung in Österreich innehat, die sie bewohnt oder bewohnen will. Eine „Wohnung“ im Sinne des Steuerrechts ist dabei nicht auf ein Gebäude im klassischen Sinne beschränkt, sondern umfasst jede Räumlichkeit, die objektiv als Wohnstätte geeignet ist und über die der Steuerpflichtige die Verfügungsmacht besitzt. Ein mobiler Wohnwagen kann somit grundsätzlich als Wohnstätte qualifizieren, sofern er für eine dauerhafte oder zumindest zeitweise Bewohnung ausgestattet ist und der digitale Nomade ihn tatsächlich zu diesem Zweck nutzt oder die Absicht hat, dies zu tun. Entscheidend ist hierbei nicht die bauliche Fixierung am Boden, sondern die tatsächliche Nutzung und die dauerhafte Verfügbarkeit der Unterkunft; da der Nomade über den Wohnwagen als sein Eigentum oder Mietobjekt permanent verfügen kann, ist die Voraussetzung der Verfügungsmacht erfüllt. Wenn der Aufenthalt in Österreich eine gewisse Dauer aufweist und der Wohnwagen als Lebensmittelpunkt während dieser Zeit dient, kann dies zur Begründung eines Wohnsitzes führen, was wiederum gemäß § 1 EStG die unbeschränkte Steuerpflicht für das gesamte Welteinkommen auslösen kann. Dabei ist zu beachten, dass die bloße Mobilität des Wohnwagens die Eigenschaft als Wohnstätte nicht ausschließt, solange die objektive Eignung zum Wohnen und die subjektive Absicht der Nutzung gegeben sind, wobei im Einzelfall auch die Bestimmungen der relevanten Doppelbesteuerungsabkommen (DBA) zu prüfen sind, die oft ergänzend auf den „Mittelpunkt der Lebensinteressen“ abstellen.",Nein. Nicht ortsfeste Unterkünfte wie mobile Camping- oder Wohnwagen stellen laut EStR 2000 Rz 21 keinen Wohnsitz dar.,EStR 2000 Rz 21,1.0,0.0,1.0,2.0,3.0,0.0,"""Eine Wohnung begründet nur dann einen Wohnsitz im Sinne des § 26 BAO, wenn sie dem Steuerpflichtigen als Unterkunft tatsächlich zur Verfügung steht und er sie auch tatsächlich nutzen kann. Nicht ortsfeste Unterkünfte, wie mobile Camping- oder Wohnwagen, begründen keinen Wohnsitz."" (EStR 2000 Rz 21)","The answer reaches the wrong conclusion (yes, a Wohnsitz can be established). EStR 2000 Rz 21 explicitly excludes non-fixed accommodations such as mobile caravans. The answer applies general BAO § 26 domicile theory without citing Rz 21, which leads to the opposite of the correct conclusion."
41,6c55c55994de18dc,"Frau Hahn hat Aktien der Z-AG in ihrem Depot bei der österreichischen Bank A. Sie beauftragt Bank A, alle Aktien auf ihr neues Depot bei derselben Bank A zu übertragen (interner Depottransfer). Einige Monate später überträgt sie dieselben Aktien auf ihr Depot bei der österreichischen Bank B, wobei sie Bank A beauftragt, Bank B die Anschaffungskosten mitzuteilen. Lösen diese Vorgänge steuerliche Konsequenzen nach § 27 EStG 1988 aus?","Nach § 27 Abs. 3 Z 1 EStG 1988 liegt ein steuerbarer Depotübertrag nur vor, wenn Wertpapiere von einem inländischen Depot auf ein ausländisches Depot übertragen werden. Ein reiner interner Übertrag zwischen Depots bei derselben inländischen Bank (Bank A) ist steuerlich nicht relevant. Auch der anschließende Übertrag zu einer anderen inländischen Bank (Bank B) stellt keinen steuerpflichtigen Depotübertrag dar, da beide Depots in Österreich gelegen sind. Die Mitteilung der Anschaffungskosten ist eine reine Informationsweitergabe für die künftige Verwaltung und löst keine Veräußerung oder Realisierung stiller Reserven aus. Somit haben diese Vorgänge keine steuerlichen Konsequenzen im Sinne des § 27 EStG 1988.","Nein, keiner der beiden Vorgänge löst steuerliche Konsequenzen aus. Gemäß § 27 Abs. 6 Z 2 EStG 1988 liegt in folgenden Fällen keine Veräußerung vor: (1) Bei der Übertragung auf ein anderes Depot desselben Steuerpflichtigen bei derselben depotführenden Stelle (interner Depottransfer bei Bank A) – hier besteht keine Melde- oder Beauftragungspflicht. (2) Bei der Übertragung auf ein Depot desselben Steuerpflichtigen bei einer inländischen depotführenden Stelle (Bank B), wenn der Steuerpflichtige die übertragende depotführende Stelle (Bank A) beauftragt, der übernehmenden Stelle (Bank B) die Anschaffungskosten mitzuteilen. Beide Vorgänge erfüllen die gesetzlichen Voraussetzungen, sodass keine Veräußerung und damit keine Steuerpflicht entsteht. Die Anschaffungskosten werden bei Bank B fortgeführt.",§ 27 Abs. 6 Z 2 EStG 1988,4.0,3.0,4.0,4.0,5.0,0.0,"""Als Veräußerung gilt nicht: – die Übertragung auf ein anderes Depot desselben Steuerpflichtigen bei derselben depotführenden Stelle; – die Übertragung auf ein Depot desselben Steuerpflichtigen bei einer anderen inländischen depotführenden Stelle, wenn der Steuerpflichtige die übertragende Stelle beauftragt, der übernehmenden Stelle die Anschaffungskosten mitzuteilen."" (§ 27 Abs. 6 Z 2 – erster und zweiter Teilstrich – EStG 1988)","The answer and reasoning are correct. However, the citation references § 27 Abs. 3 Z 1 EStG (disposal on foreign transfer) to support by contrast, rather than directly citing § 27 Abs. 6 Z 2 EStG (the non-disposal exception). The substance is fully correct; the citation points to the wrong subsection."
42,6ca218ea69786a15,Wenn ein angestellter Rechtsanwalt während einer Krankheit Zahlungen aus dem Unterstützungssystem der Rechtsanwaltskammer erhält – zählen diese als Arbeitslohn?,"Nicht. Die Zahlungen wegen Krankheit sind kein Arbeitslohn und werden nicht im Eigenteil der Rechtsanwaltskammer geltend gemacht.

### Explanation:
Diese Rechtsart ist eine Sonderregelung, die die Zahlungen aus dem Rechtsanwaltschaftsabkommen für eine Krankheit geltest. Diese Zahlungen zählen nicht für die Eigenhaltung der Rechtsanwaltskammer.","Ja. Krankengeld aus einer Unterstützungseinrichtung einer Kammer gilt als Einkünfte aus nichtselbständiger Arbeit, wenn es im Zusammenhang mit einem bestehenden oder früheren Dienstverhältnis steht (z. B. seiner Anstellung in der Kanzlei). Erfolgt die Zahlung hingegen nur wegen der Kammermitgliedschaft ohne Dienstverhältnis, liegt keine Einkunft aus nichtselbständiger Arbeit vor.",§ 25 Abs. 1 Z 1 lit. e EStG 1988 (i.V.m. § 32 Z 1 EStG 1988),1.0,0.0,0.0,1.0,3.0,0.0,"""Einkünfte aus nichtselbständiger Arbeit sind: [...] e) Bezüge aus einer Kranken- oder Unfallversorgung der Versorgungs- und Unterstützungseinrichtungen der Kammern der selbständig Erwerbstätigen. Bezüge gemäß lit. c bis e, ausgenommen solche aus einer Unfallversorgung, sind nur dann Einkünfte aus nichtselbständiger Arbeit, wenn sie auf Grund eines bestehenden oder früheren Dienstverhältnisses zufließen."" (§ 25 Abs. 1 Z 1 lit. e EStG 1988)","The answer incorrectly concludes ""no"". Under § 25 Abs. 1 Z 1 lit. e EStG 1988, payments from chamber support institutions count as nichtselbständige Einkünfte when they are linked to an existing or previous employment relationship (Dienstverhältnis). As an employed lawyer, this condition would be met. No legal basis is given in the answer."
43,6ce752f2b0f2dfa6,"Ein Auftraggeber übergibt einem Verarbeiter Silbergranulat zur Herstellung spezieller Kontakte. Vertraglich ist vereinbart, dass der Auftraggeber die bei der Verarbeitung entstehenden Silberreste und Schleifabfälle an den Verarbeiter zurückzugeben hat. Tatsächlich gibt der Auftraggeber am Ende nicht exakt diese konkreten Rückstände zurück, sondern Silberabfälle gleicher Art, wie sie in seinem Unternehmen regelmäßig anfallen. Erstreckt sich die Lieferung des Verarbeiters trotzdem auf den gesamten ursprünglichen Silbergehalt des übergebenen Materials?","In diesem Fall handelt es sich um eine vertragliche Vereinbarung zwischen dem Auftraggeber und dem Verarbeiter, die die Rückgabe von Silberresten und Schleifabfällen regelt. Die Frage, ob sich die Lieferung des Verarbeiters auf den gesamten ursprünglichen Silbergehalt des übergebenen Materials erstreckt, hängt von mehreren Faktoren ab, insbesondere von den vertraglichen Vereinbarungen und den rechtlichen Rahmenbedingungen.

1. **Vertragliche Vereinbarung**: Wenn im Vertrag ausdrücklich festgelegt ist, dass der Auftraggeber die spezifischen Rückstände zurückgeben muss, könnte die Rückgabe von anderen Silberabfällen als nicht vertragskonform angesehen werden. In diesem Fall könnte der Verarbeiter argumentieren, dass er nicht die vereinbarten Rückstände erhalten hat, was Auswirkungen auf die Abrechnung und die steuerliche Behandlung haben könnte.

2. **Art der Rückstände**: Wenn die zurückgegebenen Silberabfälle von der gleichen Art sind und einen ähnlichen Silbergehalt aufweisen, könnte man argumentieren, dass die Rückgabe im Wesentlichen den vertraglichen Anforderungen entspricht. Dies könnte jedoch von der genauen Formulierung des Vertrags abhängen.

3. **Steuerliche Behandlung**: In Bezug auf die steuerliche Behandlung könnte die Frage aufkommen, ob die Rückgabe der Silberabfälle als Lieferung im Sinne des Umsatzsteuergesetzes zu betrachten ist. Wenn die Rückgabe nicht den vertraglichen Anforderungen entspricht, könnte dies Auswirkungen auf","Nein. Muss ein Abnehmer dem Lieferer die bei der Bearbeitung oder Verarbeitung entstehenden Nebenerzeugnisse oder Abfälle zurückgeben, beschränkt sich die Lieferung auf den Gehalt des Gegenstandes an den Bestandteilen, die dem Abnehmer verbleiben. Das gilt auch dann, wenn der Abnehmer statt der konkret entstandenen Nebenerzeugnisse oder Abfälle Gegenstände gleicher Art zurückgibt, wie sie in seinem Unternehmen regelmäßig anfallen.",§ 3 Abs. 5 UStG 1994,2.0,0.0,2.0,2.0,3.0,0.0,"""Hat ein Abnehmer dem Lieferer die Nebenerzeugnisse oder Abfälle, die bei der Bearbeitung oder Verarbeitung des ihm übergebenen Gegenstandes entstehen, zurückzugeben, so beschränkt sich die Lieferung auf den Gehalt des Gegenstandes an den Bestandteilen, die dem Abnehmer verbleiben. Das gilt auch dann, wenn der Abnehmer an Stelle der bei der Bearbeitung oder Verarbeitung entstehenden Nebenerzeugnisse oder Abfälle Gegenstände gleicher Art zurückgibt, wie sie in seinem Unternehmen regelmäßig anfallen."" (§ 3 Abs. 5 UStG 1994)","The answer discusses contract interpretation and multiple legal perspectives without applying § 3 Abs. 5 UStG 1994, which directly resolves the question. The second sentence of that provision explicitly addresses the substitution of equivalent residues: the delivery is still limited to the net retained silver content. The answer never reaches a clear conclusion."
44,6cecb10465cb3dc0,Zählen Pensionszusagen auch zu meinem Arbeitslohn (Einkünften aus nichtselbständiger Arbeit)?,"Ja, Pensionszusagen zählen ebenfalls zu deinem Arbeitslohn (Einkünften aus nichtselbständiger Arbeit).","Ja. Pensionszusagen gelten als Einkünfte aus nichtselbständiger Arbeit, wenn sie ganz oder teilweise anstelle des derzeit gezahlten Gehalts oder anstelle von Gehaltserhöhungen gewährt werden, auf die der Arbeitnehmer Anspruch hätte.",§ 25 Abs. 1 Z 1 lit. a EStG 1988,3.0,0.0,3.0,3.0,4.0,0.0,"""Einkünfte aus nichtselbständiger Arbeit sind: a) Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis. Dazu zählen auch Pensionszusagen, wenn sie ganz oder teilweise anstelle des bisher gezahlten Arbeitslohns oder der Lohnerhöhungen, auf die jeweils ein Anspruch besteht, gewährt werden [...]."" (§ 25 Abs. 1 Z 1 lit. a EStG 1988)","The ""yes"" answer is correct in direction. However, the qualifying condition is missing: pension commitments only count as Arbeitslohn under § 25 Abs. 1 Z 1 lit. a EStG 1988 when they are granted instead of current salary or salary increases to which the employee is entitled. An unconditional ""yes"" without this condition is incomplete. No citation to any provision is provided in the answer."
45,6db2f5ba0baea6be,Ein Unternehmer ordnet ein Bürogebäude seinem Unternehmen zu; bei Anschaffung bestand ein teilweiser Vorsteuerabzug. Später nutzt er einen Teil des Gebäudes unentgeltlich privat. Wird diese Verwendung nach § 3a Abs. 1a Z 1 einer sonstigen Leistung gegen Entgelt gleichgestellt?,"Nein

### Opinion:
Wenn die Voraussetzungen für den Vorsteuerabzug erfüllt sind, sind die Ausgaben nicht abzugsfähig.

### Breakdown:
1. Das Unternehmen hat die Voraussetzungen für die Vorsteuerabzug erfüllt, da es eine Nutzung der Gebäude und ihrer Anlagen forcierte.
2. Das Unternehmen hat die Ausgaben zu dem Zeitpunkt übernommen, an dem die Gegenleistung entstanden ist, also vor dem Zeitpunkt der Verwendung.
3. Es ist kein Entgelt zu zahlen, weil die Nutzung des Gebäudes nicht gegen Entgelt erfolgt, sondern gegen Gegenleistung.","Nein. Zwar wird die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für unternehmensfremde Zwecke grundsätzlich einer sonstigen Leistung gegen Entgelt gleichgestellt, wenn der Gegenstand zum vollen oder teilweisen Vorsteuerabzug berechtigt hat. Diese Gleichstellung gilt aber ausdrücklich nicht für die Verwendung eines dem Unternehmen zugeordneten Grundstückes.",§ 3a Abs. 1a Z 1 UStG 1994,3.0,1.0,1.0,2.0,3.0,0.0,"""Einer sonstigen Leistung gegen Entgelt werden gleichgestellt: 1. Die Verwendung eines dem Unternehmen zugeordneten Gegenstandes, der zum vollen oder teilweisen Vorsteuerabzug berechtigt hat [...]. Z 1 gilt nicht für die Verwendung eines dem Unternehmen zugeordneten Grundstückes."" (§ 3a Abs. 1a Z 1 UStG 1994)","The conclusion (""no, not equated to a taxable supply"") is correct. However, the reasoning focuses on the Entgelt and Vorsteuerabzug conditions, missing the actual reason: the explicit real estate exception in the last sentence of § 3a Abs. 1a Z 1 UStG 1994. The provision is not cited and the decisive rule is not mentioned."
46,6df4350181059db0,Sind außergewöhnliche Belastungen nach § 34 EStG 1988 und § 35 EStG 1988 bei beschränkter Steuerpflicht anwendbar?,"Nein, die Begünstigungen gelten nur für unbeschränkt Steuerpflichtige (§ 34 Abs. 1 EStG 1988 und § 35 Abs. 1 EStG 1988).",Nein. § 102 Abs. 2 Z 3 EStG 1988 schließt unter anderem die Anwendung der §§ 34 und 35 bei beschränkt Steuerpflichtigen aus.,§ 102 Abs. 2 Z 3 EStG 1988,4.0,3.0,3.0,3.0,4.0,0.0,"""Bei der Veranlagung beschränkt Steuerpflichtiger gilt folgendes: [...] 3. Die §§ 34, 35, 38, 41 und 105 sind nicht anwendbar."" (§ 102 Abs. 2 Z 3 EStG 1988)","Correct conclusion. The answer correctly notes the exclusion applies to the provisions for unbeschränkt Steuerpflichtige. However, it cites §§ 34 Abs. 1 and 35 Abs. 1 themselves rather than the exclusion rule § 102 Abs. 2 Z 3 EStG 1988. Also note: § 102 Abs. 2 Z 3 excludes not only §§ 34 and 35 but also §§ 38, 41, and 105."
47,6e1a38baf0739132,Welche körperschaftsspezifischen Aufwendungen gelten nach § 11 KStG als Betriebsausgaben?,"Körperschaftsspezifische Aufwendungen, die nach § 11 Abs. 1 KStG als Betriebsausgaben anerkannt werden, umfassen beispielsweise:

1. Löhne und Gehälter für angestellte und freiberufliche Mitarbeiter
2. Miete und Gebühren für angemietete Räumlichkeiten
3. Strom, Gas, Wasser und Abwasserabgaben
4. Telefon- und Telefaxkosten
5. Versicherungsprämien
6. Werbungskosten
7. Reiselagekosten
8. Materialkosten
9. Reparatur- und Wartungskosten
10. Abschreibungen von Anlagegut

(Hinweis: Die Aufzählung ist nicht vollständig, es gelten","Aufwendungen im Zusammenhang mit Einlagen nach § 8 Abs. 1 KStG (Z 1), Zuführungen zu versicherungstechnischen Rückstellungen bei Versicherungsunternehmen (Z 3) sowie Zinsen für die Fremdfinanzierung des Erwerbs von Kapitalanteilen iSd § 10 (Z 4).",§ 11 Abs. 1 KStG 1988,1.0,1.0,1.0,1.0,3.0,0.0,"""Die Zinsen in Zusammenhang mit der Fremdfinanzierung des Erwerbes von Kapitalanteilen im Sinne des § 10, soweit sie zum Betriebsvermögen zählen."" (§ 11 Abs. 1 Z 4 KStG 1988 – die einzige nach derzeitigem Recht noch gültige körperschaftsspezifische Betriebsausgabe gemäß § 11 KStG nach Aufhebung von Z 1 durch BGBl. I Nr. 108/2022)","The answer lists generic business expenses (wages, rent, electricity, phone) that apply under general rules, not the body-specific provisions of § 11 KStG. § 11 KStG currently contains primarily Z 4 (financing interest for § 10 participations). The reference answer also mentions Z 1 (Einlagen) and Z 3 (insurance reserves), but Z 1 was repealed by BGBl. I Nr. 108/2022. The generated answer missed all relevant provisions entirely."
48,6e30409d104c79b5,„Ein Reisebüro bucht im Namen eines Kunden eine Hotelübernachtung bei einem Drittanbieter. Wie sind die Leistungen umsatzsteuerlich zu behandeln?“,"Das Reisebüro kann in diesem Fall als sogenannter ""Reiseveranstalter"" oder als ""Reisevermittler"" tätig sein. 

Wenn das Reisebüro als Reiseveranstalter tätig ist, d.h. es schuldet dem Kunden die Gesamtheit der Reiseleistungen und tritt gegenüber dem Kunden als Vertragspartner auf, unterliegt die Leistung des Reisebüros gegenüber dem Kunden der Umsatzsteuer. In diesem Fall ist § 23 UStG 1994 anwendbar, der besondere Regelungen für Reiseleistungen enthält.

Wenn das Reisebüro",„Es liegt eine Besorgungsleistung vor. Die für die besorgte Leistung (Beherbergung) geltenden Vorschriften sind entsprechend anzuwenden.“,§ 3a Abs. 4 UStG 1994,2.0,1.0,2.0,1.0,3.0,0.0,"""Wird eine Leistung im Namen und für Rechnung eines anderen besorgt (Besorgungsleistung), gilt die Leistung als unmittelbar an den Auftraggeber erbracht. Für die besorgte Leistung gelten die für die unmittelbare Leistung maßgeblichen Vorschriften entsprechend."" (§ 3a Abs. 4 UStG 1994)","The answer discusses the Reiseveranstalter vs. Reisevermittler distinction but is cut off before reaching a conclusion. The key concept the question is testing is the Besorgungsleistung under § 3a Abs. 4 UStG 1994: the travel agency acts in the client's name and account, so the rules applicable to the underlying accommodation service apply directly. This provision is not cited."
49,6f7c260ae687ba22,"Ein Kommanditist einer Steuerberatungs-GmbH & Co KG ist verärgert über die Geschäftsführung und verkauft seinen gesamten Kommanditanteil mit erheblichem Gewinn an einen Dritten. Da er nur Kapitalgeber war, möchte er den Erlös als privates Veräußerungsgeschäft versteuern. Ist das rechtens?","Ja, es ist rechtens, dass der Kommanditist den Erlös als privates Veräußerungsgeschäft versteuern könnte, da er nicht direkt beteiligt war im Geschäft. Die Steuerordnung legt fest, dass der Einkäufer oder Veräußerer.","Nein, das ist nicht rechtens. Gemäß § 23 Z 3 i.V.m. § 24 EStG gehört der Veräußerungsgewinn eines Mitunternehmeranteils (und ein Kommanditist ist ein Mitunternehmer) zu den Einkünften aus Gewerbebetrieb. Ob der Gesellschafter aktiv im Betrieb mitgearbeitet hat oder nicht, spielt für diese Qualifikation keine Rolle.",§ 23 EStG 1988,1.0,0.0,1.0,1.0,3.0,0.0,"""Einkünfte aus Gewerbebetrieb: [...] 3. Veräußerungsgewinne im Sinne des § 24."" (§ 23 Z 3 EStG 1988)
""[Veräußerungsgewinn] entsteht auch bei Veräußerung von Mitunternehmeranteilen."" (§ 24 Abs. 1 EStG 1988)","The answer incorrectly concludes this is a private capital gain. Under § 23 Z 3 i.V.m. § 24 EStG 1988, the gain from selling a Mitunternehmeranteil (which includes a Kommanditist's share) is always classified as Gewerbebetrieb income, regardless of whether the partner was actively involved in operations. Passive capital-provider status does not change the legal classification."
50,7011b2fc275189db,"Welche Normen sind einschlägig, wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen?",Stiftführt iste das Vermögen des Einkommenskosts der Gesellsatz für die Wirtsetzten. Die Ermitteln bei den Arbeitgebendes zur Abzug (§ 3 Abs 1 Z 2). Der Bundesweise erfolgt sowie auf dem Rechtliche Unternehmer im Jahr al-Babergammen mit nicht in diesem Steuerpfliederrechnet oder an untersuchlichkeitsprinischend von Gewinnstellnach gegrundige Gruppe jedochtssteht; abzuher Überhalben,"§ 10 Abs. 3 KStG: Veräußerungsgewinn ist steuerneutral (sofern keine Steuerwirksamkeitsoption). Da er außer Ansatz bleibt, erhöht er den Gesamtbetrag der Einkünfte nicht. § 8 Abs. 4 Z 2 KStG: Verlustvorträge können nur gegen steuerpflichtige Einkünfte verrechnet werden – der steuerfreie Veräußerungsgewinn zählt nicht. Verluste können dadurch ungenutzt bleiben.",§ 10 Abs. 3 KStG 1988; § 8 Abs. 4 Z 2 KStG 1988,0.0,0.0,0.0,0.0,0.0,1.0,"""Gewinne aus der Veräußerung oder sonstigen Abschichtung einer internationalen Schachtelbeteiligung [...] bleiben bei der Ermittlung des Einkommens außer Ansatz."" (§ 10 Abs. 3 KStG 1988)
""Verlustvorträge [...] können nur mit positiven Einkünften aus steuerpflichtigen Einkunftsarten verrechnet werden; steuerfreie Einkünfte (§ 10 Abs. 3) erhöhen die Verrechnungsbasis nicht."" (§ 8 Abs. 4 Z 2 KStG 1988)","The answer is complete gibberish (""Stiftführt iste das Vermögen des Einkommenskosts..."") – a clear model generation failure producing incoherent text. Both relevant provisions (§ 10 Abs. 3 and § 8 Abs. 4 Z 2 KStG 1988) are entirely absent from the answer."
51,70a1d253ae351bfe,Eine österreichische GmbH & Co KG (Mitunternehmerschaft) hält im Betriebsvermögen Aktien. Die Aktien werden mit Gewinn veräußert. Ein Kommanditist hält seinen Anteil an der KG im Privatvermögen. Sind die Gewinne aus der Aktienveräußerung für den Kommanditisten Einkünfte aus Kapitalvermögen nach § 27 EStG 1988?,"Nein, die Gewinne aus der Aktienveräußerung sind für den Kommanditisten nicht Einkünfte aus Kapitalvermögen nach § 27 EStG 1988. Da der Kommanditist seinen Anteil an der KG im Privatvermögen hält, sind die Gewinne aus der Aktienveräußerung Teil der Einkünfte aus Gewerbebetrieb der KG und daher Einkünfte aus Gewerbebetrieb des Kommanditisten nach § 22 Abs. 1 E","Nein. Obwohl die KG Aktien hält, deren Erträge grundsätzlich unter § 27 EStG 1988 fallen könnten, greift hier die Subsidiaritätsklausel des § 27 Abs. 1 EStG 1988. Danach liegen Einkünfte aus Kapitalvermögen nur vor, soweit sie nicht zu den Einkünften im Sinne des § 2 Abs. 3 Z 1 bis 4 EStG 1988 gehören. Da die Aktien im Betriebsvermögen der KG gehalten werden und die KG Einkünfte aus Gewerbebetrieb erzielt (§ 2 Abs. 3 Z 3 EStG 1988), stellen die Gewinne aus der Aktienveräußerung für den Kommanditisten anteilige Einkünfte aus Gewerbebetrieb dar – unabhängig davon, dass er seinen Kommanditanteil im Privatvermögen hält.",§ 27 Abs. 1 EStG 1988; § 2 Abs. 3 EStG 1988,4.0,3.0,4.0,3.0,4.0,0.0,"""Einkünfte aus Kapitalvermögen sind Einkünfte aus der Überlassung von Kapital, aus realisierten Wertsteigerungen von Kapitalvermögen und aus Derivaten, soweit sie nicht zu den Einkünften im Sinne des § 2 Abs. 3 Z 1 bis 4 gehören."" (§ 27 Abs. 1 EStG 1988 – Subsidiaritätsklausel)",Correct conclusion and correct application of the Subsidiaritätsprinzip. The answer correctly identifies that Gewerbebetrieb income (§ 2 Abs. 3 Z 3) has priority over Kapitalvermögen. Minor issue: the answer cites § 22 EStG (selbständige Arbeit) instead of § 23 EStG (Gewerbebetrieb). The answer is also truncated. Substance is fully correct.
52,70b03a38c65fc06c,Was wurde bei der Homeoffice-Pauschale geregelt?,"Die Homeoffice-Pauschale wurde mit dem Abgabenänderungsgesetz 2021 (ABG 2021) eingeführt und zielt darauf ab, Arbeitnehmern, die im Homeoffice arbeiten, eine pauschale steuerliche Absetzbarkeit zu ermöglichen. Diese Regelung fällt unter das Einkommenssteuergesetz (EStG).

### Wesentliche Regelungen zur Homeoffice-Pauschale:
1. **Höhe der Pauschale**: 
   Laut § 20 EStG können Steuerpflichtige eine Homeoffice-Pauschale von bis zu 300 Euro pro Jahr geltend machen, wenn sie keinen Arbeitsplatz in der Firma zur Verfügung haben und mindestens 26 Tage im Jahr im Homeoffice gearbeitet haben.

2. **Voraussetzungen**: 
   - Es muss sich um eine betriebliche Notwendigkeit handeln.
   - Die Erbringung der Arbeit erfolgt regelmäßig im Homeoffice.
   - Der Pauschalbetrag wird nicht gewährt, wenn entsprechende Kosten wie z.B. Mietkosten für ein Büro abgesetzt werden.

3. **Rechtsverbindlichkeit**: 
   Die Pauschale kann einfach in der Arbeitnehmerveranlagung (Jahresausgleich) geltend gemacht werden. 

### Aktuelle Situation seit 2022
Im Zuge der ökosozialen Steuerreform 2022 wurde die Homeoffice-Pauschale nicht verändert, ist jedoch weiterhin Bestandteil der Anrechnungs- und Absetzmöglichkeiten für das Jahr 2025/2026. Die Regelung bleibt bis dato gültig und ohne wesentliche Modifikationen.

Zusammenfassend lässt sich sagen, dass die Homeoffice-Pauschale eine vereinfachte steuerliche Absetzmöglichkeit für jene Arbeitnehmer darstellt, die im Homeoffice tätig sind, und 2021 ins Leben gerufen wurde. Es ist empfehlenswert, bei der Geltendmachung der Pauschale die aktuelle Gesetzeslage zu berücksichtigen.",Dass pro Homeoffice-Tag bis zu 3 Euro (max. 300 Euro/Jahr) steuerfrei vom Arbeitgeber gezahlt werden können.,EStG § 3 Abs. 1 Z 16c,3.0,0.0,2.0,3.0,3.0,1.0,"""Das Homeoffice-Pauschale beträgt bis zu drei Euro pro Tag, an dem der Arbeitnehmer seine berufliche Tätigkeit auf Grund einer mit dem Arbeitgeber getroffenen Vereinbarung ausschließlich in der Wohnung ausübt (Homeoffice-Tag); es steht für höchstens 100 Tage im Kalenderjahr zu."" (§ 26 Z 9 lit. a EStG 1988 i.d.F. BGBl. I Nr. 52/2021; Hinweis: Die Quellenangabe ""§ 3 Abs. 1 Z 16c EStG"" im Datensatz scheint fehlerhaft – § 3 Abs. 1 Z 16c betrifft pauschale Reiseaufwandsentschädigungen für Sportler, nicht die Homeoffice-Pauschale)","The answer gets the EUR 300 annual maximum correct. However, it cites § 20 EStG (non-deductible expenses) which is completely wrong. The Homeoffice-Pauschale is governed by § 26 Z 9 EStG 1988 (employer side, tax-free payments). The answer also invents conditions (minimum 26 days, no workplace available) that do not appear in the reference answer. Note: the dataset source column (""§ 3 Abs. 1 Z 16c"") appears to be a dataset error – § 3 Abs. 1 Z 16c concerns sports organisations."
53,70d71ceefaa4afaf,"„Liegt ein tauschähnlicher Umsatz vor, wenn eine Leistung nicht in Geld vergütet wird?“","Ja, ein tauschähnlicher Umsatz liegt vor, wenn eine Leistung nicht in Geld vergütet wird, sondern durch eine andere Leistung oder durch Sachwerte. In der österreichischen Umsatzsteuer wird ein tauschähnlicher Umsatz als ein Umsatz betrachtet, bei dem zwei Leistungen gegenseitig erbracht werden, ohne dass eine Geldzahlung erfolgt. 

Ein typisches Beispiel wäre der Austausch von Dienstleistungen oder Waren zwischen zwei Parteien. In solchen Fällen wird der Wert der erhaltenen Leistung als Bemessungsgrundlage für die Umsatzsteuer herangezogen. Es ist wichtig, den Wert der erhaltenen Leistung zu ermitteln, um die Umsatzsteuer korrekt zu berechnen und abzuführen. 

Die Regelungen zu tauschähnlichen Umsätzen sind im österreichischen Umsatzsteuergesetz (UStG) verankert und sollten im Einzelfall genau geprüft werden, um steuerliche Konsequenzen zu verstehen.","„Ja, wenn das Entgelt für eine sonstige Leistung in einer Lieferung oder in einer sonstigen Leistung besteht, liegt ein tauschähnlicher Umsatz vor.“",§ 3a Abs. 2 UStG 1994,4.0,2.0,4.0,4.0,4.0,0.0,"""Ein tauschähnlicher Umsatz liegt vor, wenn das Entgelt für eine sonstige Leistung in einer Lieferung oder in einer sonstigen Leistung besteht."" (§ 3a Abs. 2 UStG 1994)","Correct ""yes"" answer, correct concept, and the mention of the received service's value as Bemessungsgrundlage is accurate. The answer references ""österreichisches UStG"" generically without citing the specific provision § 3a Abs. 2 UStG 1994."
